Order,Name,Company,English,Korean
1,Jennifer Park,LG Chem,"Good morning, everyone. Thank you for joining this kickoff call for the tech transfer of our drug substance project. Let's start by introducing ourselves. I'm Jennifer Park, the Project Manager from LG Chem.",모두 안녕하십니까. 당사의 약물 물질 프로젝트의 기술 이전을 위한 이번 킥오프 콜에 참여해 주셔서 감사합니다. 우리 자신을 소개하는 것부터 시작하겠습니다. 저는 LG화학의 Project Manager 박제니퍼입니다.
2,Lisa Chen,Innovent,"Good morning, Jennifer. I'm Lisa Chen, the Project Manager from Innovent.","좋은 아침이에요, 제니퍼. 저는 Innovent의 프로젝트 매니저 Lisa Chen입니다."
3,Kevin Lee,LG Chem,"Hello, everyone. I'm Kevin Lee, the Lead Scientist from LG Chem.","여러분, 안녕하세요. 저는 LG화학의 수석연구원 Kevin Lee입니다."
4,Michael Zhang,Innovent,"Hi, Kevin. I'm Michael Zhang, the Manufacturing Specialist from Innovent.","안녕, 케빈. 저는 Innovent의 제조 전문가 Michael Zhang입니다."
5,Sarah Wang,Innovent,"And I'm Sarah Wang, the Quality Control Manager from Innovent.",저는 Innovent의 품질 관리 관리자 Sarah Wang입니다.
6,Jennifer Park,LG Chem,"Great, now that we've all been introduced, let's dive into the agenda for today's call. First, we'll provide an overview of the project scope and objectives. Then, we'll discuss the timeline and key milestones for the tech transfer process. Finally, we'll review roles and responsibilities for both LG Chem and Innovent team members. Does that sound good to everyone?","좋습니다. 이제 우리 모두를 소개했으니 오늘 통화의 의제를 자세히 살펴보겠습니다. 먼저, 프로젝트 범위와 목표에 대한 개요를 제공하겠습니다. 그런 다음 기술 이전 프로세스의 타임라인과 주요 이정표에 대해 논의하겠습니다. 마지막으로 LG화학과 이노벤트 팀원 모두의 역할과 책임을 검토하겠습니다. 모두에게 좋은 것 같나요?"
7,Lisa Chen,Innovent,"Sounds good to me, Jennifer.","제 생각에는 좋은 것 같아요, 제니퍼."
8,Kevin Lee,LG Chem,"Yes, that works for us as well.","네, 그것은 우리도 좋습니다."
9,Jennifer Park,LG Chem,"Perfect. Let's start with an overview of the project scope. Kevin, could you provide a brief summary of the drug substance development and the goals for the Phase III clinical trials?","좋습니다. 프로젝트 범위에 대한 개요부터 시작하겠습니다. Kevin 씨, 원료의약품 개발과 3상 임상시험의 목표에 대해 간략하게 요약해주실 수 있나요?"
10,Kevin Lee,LG Chem,"Certainly, Jennifer. We've developed a novel drug substance that has shown promising results in preclinical studies. The goal of the Phase III clinical trials is to further evaluate its efficacy and safety in larger patient populations.","물론이죠, 제니퍼. 우리는 전임상 연구에서 유망한 결과를 보여준 새로운 약물 물질을 개발했습니다. 3상 임상시험의 목표는 더 많은 환자 집단을 대상으로 효능과 안전성을 추가로 평가하는 것입니다."
11,Lisa Chen,Innovent,"Thank you, Kevin. That's a clear overview. Now, let's discuss the timeline for the tech transfer process. Jennifer, do you have an estimated timeline for us?","고마워요, 케빈. 그것은 명확한 개요입니다. 이제 기술 이전 프로세스의 일정에 대해 논의하겠습니다. 제니퍼, 우리에게 예상되는 일정이 있나요?"
12,Jennifer Park,LG Chem,"Yes, Lisa. We anticipate the tech transfer to take approximately ten weeks, including training, documentation review, and process validation. However, this timeline is subject to adjustments based on our progress and any unforeseen challenges.","응, 리사. 교육, 문서 검토, 프로세스 검증을 포함하여 기술 이전에는 약 10주가 소요될 것으로 예상됩니다. 그러나 이 일정은 진행 상황과 예상치 못한 문제에 따라 조정될 수 있습니다."
13,Michael Zhang,Innovent,"Understood, Jennifer. We'll do our best to adhere to the timeline and ensure a smooth transition.","알겠습니다, 제니퍼. 우리는 일정을 준수하고 원활한 전환을 보장하기 위해 최선을 다할 것입니다."
